Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date,normalized_pnl
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,11.73,15.0,175.95,BUY,03-04-2025 15:24,34148.81,Open Long,0.0,0x5a526229f5d9f30da6280420d10b4e0202f000af82b67a4ac6fb6d4bf1a516bd,83555405454,False,0.008797,119000000000000.0,2025-03-04 15:24:00,2025-03-04,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,13.217,2.0,26.43,BUY,11-03-2025 06:04,148540.82,Open Long,0.0,0x8467fc42d7a38f28e676041f4f12070204ca00df06a528fc6633786369aaf8ce,78808032399,False,0.0,684000000000000.0,2025-11-03 06:04:00,2025-11-03,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,BLAST,0.015429,8973.0,138.44,SELL,07-12-2024 05:31,-440015.0,Open Short,0.0,0xc009edec3d266a4b0a36041899f67c02011700439106167b94495dadf45747d4,53345008913,True,0.046516,55200000000000.0,2024-07-12 05:31:00,2024-07-12,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,WLD,2.5637,194.9,499.67,SELL,06-01-2025 20:31,-1970.3,Open Short,0.0,0x15bcecae2cf70c2b9f86041ace633c020215009e23dfc7cabd298ff06ae18eb4,60991644008,True,0.174882,1100000000000000.0,2025-06-01 20:31:00,2025-06-01,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,ETH,1548.6,0.02,30.97,BUY,07-04-2025 09:32,3.8388,Open Long,0.0,0x0f10a2ffc2618264503104210ebbe902037700704ddfea7f1c3bcb418eb7113b,84462903016,True,0.010406,908000000000000.0,2025-07-04 09:32:00,2025-07-04,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,SOL,127.49,188.24,23998.72,SELL,09-03-2025 22:38,6375.83,Close Long,26.692432,0xc89ce8d0c276c4717761041f3944000201fb00fe87514a19e2b04ec5d02ee195,78428682687,True,5.999679,843000000000000.0,2025-09-03 22:38:00,2025-09-03,0.0011122439863459385
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,BTC,98448.0,0.01477,1454.08,BUY,04-02-2025 20:47,2.19685,Open Long,0.0,0x4f67375882bc6cd0c229041d20f1890000550999d29d39ab22548ec2358fd1b1,69432611781,False,0.145407,212000000000000.0,2025-04-02 20:47:00,2025-04-02,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,APE,1.4691,1397.1,2052.48,BUY,01-12-2024 06:14,-1642.3,Close Short,69.170421,0x11e012534c9a16da6aa204181e07f902017d00cda8f72b5afd6fa877ba743396,51575112860,True,0.718367,35700000000000.0,2024-01-12 06:14:00,2024-01-12,0.03370089891253508
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,BTC,98132.0,0.0089,873.37,BUY,03-02-2025 23:06,0.1887,Open Long,0.0,0xb4f2606a30c12f7d6cc0041d123e010201480008d8e44ebaca05b8e4fbd9a796,69101532857,False,0.087337,341000000000000.0,2025-03-02 23:06:00,2025-03-02,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,BTC,80392.0,0.0249,2001.76,BUY,10-04-2025 20:53,-5.45911,Close Short,19.25268,0x11fc9e084110f40e527c0421480bfe01b3002e8aedf2e1e0d82c64d5b5e2d27c,85610828347,False,0.192168,347000000000000.0,2025-10-04 20:53:00,2025-10-04,0.009617876268883383
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,2725.0,0.22,599.5,SELL,03-02-2025 22:21,-612.427,Open Short,0.0,0xb900d4271e874c796f21041d11ba980203ad00d69eb32624d8b6cb800ec400e7,69075802717,False,0.029975,930000000000000.0,2025-03-02 22:21:00,2025-03-02,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,SUI,4.8499,309.2,1499.59,SELL,04-01-2025 03:03,-1335.4,Open Short,0.0,0x2c896ea20e404dccba1e041a9599f4018900888f575e09f1f456aeee81fceffe,60510168031,True,0.503861,799000000000000.0,2025-04-01 03:03:00,2025-04-01,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,SOL,236.62,2.0,473.24,SELL,06-12-2024 20:35,-333.58,Open Short,0.0,0x3e24adf09218ee67dae404189235790202400064b081fa41624d34ffc4fd0bf7,53262049239,False,0.045431,411000000000000.0,2024-06-12 20:35:00,2024-06-12,0.0
